"Nazv","Opisanie","Cena","Rating","Otzyv"
"Планшет TurboPad 1015, серебристый","диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: MediaTek MT8321",6590,4.1,30
"Планшет Apple iPad Air (2020) 256Gb Wi-Fi, space grey","диагональ: 10.9"" (2360x1640) IPSвстроенная память: 256 ГБпроцессор: Apple A14 Bionicоперационная система: iOS",69990,4.7,12
"Планшет BQ 1020L Nexion, black","диагональ: 10.1"" (1024x600)встроенная память: 8 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC9832E",5499,5,1
"Планшет HUAWEI MatePad T 10s 32Gb LTE (2020), Deep Sea Blue","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 710A",14490,4.6,17
"Планшет HUAWEI MatePad T 8.0 16Gb Wi-Fi, Deep Sea Blue","диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8768",10120,4.6,94
"Планшет HUAWEI MediaPad M5 8.4 64Gb LTE (2018)","диагональ: 8.4"" (2560x1600) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 960операционная система: Android 8.0",24490,4.7,40
"Планшет DIGMA Optima 10 X702 4G","диагональ: 10.1"" (1280x768) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10",7990,5,1
"Планшет DIGMA CITI 10 E402 4G","диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 2 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10",7190,NA,NA
"Планшет BQ 8077L Exion Plus (2020)","диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10",6660,4,9
"Планшет Prestigio Muze 3231 4G","диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБоперативная память: 2 ГБпроцессор: Spreadtrum SC9832Eоперационная система: Android 10",8468,4.6,3
"Планшет HUAWEI MatePad Pro LTE 128Gb","диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990операционная система: Android 10",36320,4.6,93
"Планшет Lenovo Tab M10 TB-X505X 32Gb (2019)","диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429операционная система: Android 9.0",10714,4.5,49
"Планшет Apple iPad (2020) 128Gb Wi-Fi + Cellular","диагональ: 10.2"" (2160x1620) IPSвстроенная память: 128 ГБпроцессор: Apple A12 Bionicоперационная система: iOSкамеры: основная 8 МП, фронтальная 1.20 МП",45850,4.7,7
"Планшет Jumper EZpad 6 Pro 8Gb","диагональ: 11.6"" (1920x1080) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 8 ГБпроцессор: Intel Celeron N3450операционная система: Windows 10",25990,NA,NA
"Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb (2019)","диагональ: 10.1"" (1920x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Samsung Exynos 7904операционная система: Android 9.0",15950,4.6,228
"Планшет BQ 7036L Hornet (2018)","диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1",3990,4.6,2
"Планшет HUAWEI Mediapad T3 10 2Gb 32Gb LTE (2017)","диагональ: 9.6"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425операционная система: Android 7.0",12990,4.6,5
"Планшет Apple iPad mini (2019) 64Gb Wi-Fi","диагональ: 7.9"" (2048x1536) IPSвстроенная память: 64 ГБоперативная память: 3 ГБпроцессор: Apple A12 Bionicоперационная система: iOS",29990,4.7,83
"Планшет Blackview Tab 8","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10",12290,4.3,21
"Планшет alldocube X Neo 64GB LTE","диагональ: 10.5"" (2560x1600) Super AMOLEDвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 660операционная система: Android 9.0",24190,3.8,1
"Планшет HUAWEI MatePad Pro WiFi 128Gb","диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990операционная система: Android",36990,4.5,106
"Планшет BQ 1085L Hornet Max Pro (2018)","диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1",6490,4.2,18
